               Date/Time,                              EPC,               X_loc,   Y_loc,   Count
   17/11/2014 4:12:31 PM, 494354442D5331342D545241592D3141,                  44,      44,       1
   17/11/2014 4:12:31 PM, 494354442D5331342D545241592D3142,                  44,     -45,       1
   17/11/2014 4:12:31 PM, 494354442D5331342D545241592D3541,                   0,    -190,       1
   17/11/2014 4:12:31 PM, 494354442D5331342D545241592D3341,                   0,    -190,       1
   17/11/2014 4:12:32 PM, 494354442D5331342D545241592D3242,                 134,    -135,       1
   17/11/2014 4:12:32 PM, 494354442D5331342D545241592D3642,                 134,     134,       1
   17/11/2014 4:12:34 PM, 494354442D5331342D545241592D3641,                -135,    -135,       1
   17/11/2014 4:12:34 PM, 494354442D5331342D545241592D3342,                -135,    -135,       1
   17/11/2014 4:12:34 PM,         300833B2DDD906C000000000,                -135,    -135,       1
   17/11/2014 4:12:36 PM, 494354442D5331342D545241592D3141,                  43,     -79,      38
   17/11/2014 4:12:36 PM, 494354442D5331342D545241592D3142,                  58,     -62,      10
   17/11/2014 4:12:36 PM, 494354442D5331342D545241592D3341,                   0,    -166,       7
   17/11/2014 4:12:36 PM, 494354442D5331342D545241592D3242,                 108,    -109,       7
   17/11/2014 4:12:36 PM, 494354442D5331342D545241592D3342,                -135,    -135,       2
   17/11/2014 4:12:36 PM, 494354442D5331342D545241592D3541,                  39,    -118,       9
   17/11/2014 4:12:36 PM, 494354442D5331342D545241592D3641,                 -68,    -163,       2
   17/11/2014 4:12:36 PM, 494354442D5331342D545241592D3642,                -102,     -73,       9
   17/11/2014 4:12:36 PM,         300833B2DDD906C000000000,                -135,    -135,       1
   17/11/2014 4:12:36 PM, 494354442D5331342D545241592D3542,                   0,     -64,       1
